ts_ms,event,x,y,heading,ang_z,enc1,enc2,tof_izq,tof_cen,tof_der,extra
0,BOOT,0,9,1,90.0,0,0,350,350,350,
0,FWD,1,9,1,90.0,1378,694,350,350,350,
2222,TURN_L,1,9,0,90.0,514,1126,350,350,350,
3626,FWD,1,8,0,0.0,1889,1811,350,350,350,
5839,TURN_L,1,8,3,0.0,1025,2243,350,350,350,
7234,FWD,0,8,3,270.0,2400,2929,350,350,350,
9454,TURN_R,0,8,0,270.0,3264,2497,350,350,350,
10850,FWD,0,7,0,0.0,4652,3189,350,350,350,
11520,FWD,0,6,0,0.0,6032,3876,350,350,350,
13739,TURN_R,0,6,1,0.0,6896,3444,350,350,350,
15133,FWD,1,6,1,90.0,8275,4133,350,350,350,
15799,FWD,2,6,1,90.0,9655,4820,350,350,350,
18012,TURN_L,2,6,0,90.0,8791,5252,350,350,350,
19412,FWD,2,5,0,0.0,10168,5943,350,350,350,
21639,TURN_R,2,5,1,0.0,11032,5511,350,350,350,
23030,FWD,3,5,1,90.0,12413,6199,350,350,350,
23706,FWD,4,5,1,90.0,13784,6890,350,350,350,
23706,GOAL,4,5,1,90.0,13784,6890,350,350,350,
