ts_ms,event,x,y,heading,fx,fy,ang_z,enc1,enc2,tof_izq,tof_cen,tof_der,corr_pid,run_phase,extra
0,BOOT,0,15,0,0.000,15.000,0.00,0,0,350,350,350,1.4,0,algo=Flood Fill (tiempo real)
1,FWD,0,14,0,0.000,15.000,0.00,1375,689,99,348,79,1.3,0,
363,SAMPLE,0,14,0,0.000,14.583,0.00,1375,689,89,353,84,-1.5,0,
675,FWD,0,13,0,0.000,14.000,0.00,2739,1376,89,353,84,0.6,0,
1040,SAMPLE,0,13,0,0.000,13.582,0.00,2739,1376,102,338,96,-2.8,0,
1353,FWD,0,12,0,0.000,13.000,0.00,4113,2060,102,338,96,-1.0,0,
1714,SAMPLE,0,12,0,0.000,12.586,0.00,4113,2060,81,274,92,-1.9,0,
2031,FWD,0,11,0,0.000,12.000,0.00,5489,2747,81,274,92,1.2,0,
2395,SAMPLE,0,11,0,0.000,11.583,0.00,5489,2747,50,88,339,-1.6,0,
2760,SAMPLE,0,11,0,0.000,11.301,0.00,5489,2747,50,88,339,-0.6,0,
3122,SAMPLE,0,11,0,0.000,11.130,0.00,5489,2747,50,88,339,-2.9,0,
3472,SAMPLE,0,11,0,0.000,11.042,0.00,5489,2747,50,88,339,-2.6,0,
3822,SAMPLE,0,11,0,0.000,11.007,0.00,5489,2747,50,88,339,-2.3,0,
4185,SAMPLE,0,11,0,0.000,11.000,0.00,5489,2747,50,88,339,-1.7,0,
4252,TURN_R,0,11,1,0.000,11.000,0.00,6353,2315,50,88,339,35.0,0,
4614,SAMPLE,0,11,1,0.000,11.000,15.15,6353,2315,50,88,339,35.0,0,
4964,SAMPLE,0,11,1,0.000,11.000,46.71,6353,2315,50,88,339,35.0,0,
5326,SAMPLE,0,11,1,0.000,11.000,78.22,6353,2315,50,88,339,35.0,0,
5641,FWD,1,11,1,0.000,11.000,90.00,7740,3002,50,88,339,0.4,0,
6006,SAMPLE,1,11,1,0.418,11.000,90.00,7740,3002,101,342,74,0.2,0,
6321,FWD,2,11,1,1.000,11.000,90.00,9120,3686,101,342,74,4.9,0,
6682,SAMPLE,2,11,1,1.414,11.000,90.00,9120,3686,92,278,84,6.2,0,
6999,FWD,3,11,1,2.000,11.000,90.00,10486,4374,92,278,84,2.6,0,
7362,SAMPLE,3,11,1,2.416,11.000,90.00,10486,4374,84,100,281,4.4,0,
7727,SAMPLE,3,11,1,2.698,11.000,90.00,10486,4374,84,100,281,2.8,0,
8091,SAMPLE,3,11,1,2.870,11.000,90.00,10486,4374,84,100,281,3.0,0,
8454,SAMPLE,3,11,1,2.960,11.000,90.00,10486,4374,84,100,281,4.5,0,
8806,SAMPLE,3,11,1,2.994,11.000,90.00,10486,4374,84,100,281,7.8,0,
9170,SAMPLE,3,11,1,3.000,11.000,90.00,10486,4374,84,100,281,7.3,0,
9218,TURN_R,3,11,2,3.000,11.000,90.00,11350,3942,84,100,281,35.0,0,
9582,SAMPLE,3,11,2,3.000,11.000,105.30,11350,3942,84,100,281,35.0,0,
9932,SAMPLE,3,11,2,3.000,11.000,136.90,11350,3942,84,100,281,35.0,0,
10297,SAMPLE,3,11,2,3.000,11.000,168.56,11350,3942,84,100,281,35.0,0,
10614,FWD,3,12,2,3.000,11.000,180.00,12737,4621,84,100,281,9.4,0,
10980,SAMPLE,3,12,2,3.000,11.419,180.00,12737,4621,93,100,269,13.3,0,
11342,SAMPLE,3,12,2,3.000,11.698,180.00,12737,4621,93,100,269,16.9,0,
11705,SAMPLE,3,12,2,3.000,11.870,180.00,12737,4621,93,100,269,16.9,0,
12055,SAMPLE,3,12,2,3.000,11.958,180.00,12737,4621,93,100,269,18.6,0,
12421,SAMPLE,3,12,2,3.000,11.994,180.00,12737,4621,93,100,269,15.6,0,
12786,SAMPLE,3,12,2,3.000,12.000,180.00,12737,4621,93,100,269,16.7,0,
12835,TURN_R,3,12,3,3.000,12.000,180.00,13601,4189,93,100,269,35.0,0,
13199,SAMPLE,3,12,3,3.000,12.000,195.30,13601,4189,93,100,269,35.0,0,
13552,SAMPLE,3,12,3,3.000,12.000,227.19,13601,4189,93,100,269,35.0,0,
13915,SAMPLE,3,12,3,3.000,12.000,258.63,13601,4189,93,100,269,35.0,0,
14231,FWD,2,12,3,3.000,12.000,270.00,14981,4874,93,100,269,11.4,0,
14595,SAMPLE,2,12,3,2.583,12.000,270.00,14981,4874,260,102,85,18.6,0,
14945,SAMPLE,2,12,3,2.311,12.000,270.00,14981,4874,260,102,85,21.3,0,
15309,SAMPLE,2,12,3,2.135,12.000,270.00,14981,4874,260,102,85,20.2,0,
15659,SAMPLE,2,12,3,2.045,12.000,270.00,14981,4874,260,102,85,20.4,0,
16021,SAMPLE,2,12,3,2.007,12.000,270.00,14981,4874,260,102,85,20.1,0,
16384,SAMPLE,2,12,3,2.000,12.000,270.00,14981,4874,260,102,85,18.2,0,
16450,TURN_L,2,12,2,2.000,12.000,270.00,14117,5306,260,102,85,-35.0,0,
16814,SAMPLE,2,12,2,2.000,12.000,254.70,14117,5306,260,102,85,-35.0,0,
17179,SAMPLE,2,12,2,2.000,12.000,221.64,14117,5306,260,102,85,-35.0,0,
17544,SAMPLE,2,12,2,2.000,12.000,190.45,14117,5306,260,102,85,-35.0,0,
17845,FWD,2,13,2,2.000,12.000,180.00,15493,5991,260,102,85,13.2,0,
18208,SAMPLE,2,13,2,2.000,12.416,180.00,15493,5991,53,98,271,20.7,0,
18574,SAMPLE,2,13,2,2.000,12.699,180.00,15493,5991,53,98,271,22.6,0,
18940,SAMPLE,2,13,2,2.000,12.871,180.00,15493,5991,53,98,271,23.1,0,
19300,SAMPLE,2,13,2,2.000,12.960,180.00,15493,5991,53,98,271,22.1,0,
19665,SAMPLE,2,13,2,2.000,12.994,180.00,15493,5991,53,98,271,22.8,0,
20031,SAMPLE,2,13,2,2.000,13.000,180.00,15493,5991,53,98,271,21.8,0,
20064,TURN_R,2,13,3,2.000,13.000,180.00,16357,5559,53,98,271,35.0,0,
20416,SAMPLE,2,13,3,2.000,13.000,194.41,16357,5559,53,98,271,35.0,0,
20777,SAMPLE,2,13,3,2.000,13.000,226.80,16357,5559,53,98,271,35.0,0,
21141,SAMPLE,2,13,3,2.000,13.000,258.42,16357,5559,53,98,271,35.0,0,
21454,FWD,1,13,3,2.000,13.000,270.00,17732,6246,53,98,271,14.9,0,
21818,SAMPLE,1,13,3,1.583,13.000,270.00,17732,6246,346,165,260,21.7,0,
22184,SAMPLE,1,13,3,1.301,13.000,270.00,17732,6246,346,165,260,20.7,0,
22547,SAMPLE,1,13,3,1.130,13.000,270.00,17732,6246,346,165,260,22.5,0,
22909,SAMPLE,1,13,3,1.040,13.000,270.00,17732,6246,346,165,260,20.9,0,
23275,SAMPLE,1,13,3,1.006,13.000,270.00,17732,6246,346,165,260,22.2,0,
23638,SAMPLE,1,13,3,1.000,13.000,270.00,17732,6246,346,165,260,23.4,0,
23670,TURN_L,1,13,2,1.000,13.000,270.00,16868,6678,346,165,260,-35.0,0,
24036,SAMPLE,1,13,2,1.000,13.000,254.54,16868,6678,346,165,260,-35.0,0,
24401,SAMPLE,1,13,2,1.000,13.000,221.45,16868,6678,346,165,260,-35.0,0,
24754,SAMPLE,1,13,2,1.000,13.000,191.11,16868,6678,346,165,260,-35.0,0,
25071,FWD,1,14,2,1.000,13.000,180.00,18250,7363,346,165,260,17.1,0,
25422,SAMPLE,1,14,2,1.000,13.404,180.00,18250,7363,87,263,89,24.1,0,
25747,FWD,1,15,2,1.000,14.000,180.00,19625,8053,87,263,89,15.1,0,
26110,SAMPLE,1,15,2,1.000,14.416,180.00,19625,8053,263,86,85,23.1,0,
26475,SAMPLE,1,15,2,1.000,14.698,180.00,19625,8053,263,86,85,22.4,0,
26840,SAMPLE,1,15,2,1.000,14.870,180.00,19625,8053,263,86,85,22.6,0,
27190,SAMPLE,1,15,2,1.000,14.958,180.00,19625,8053,263,86,85,25.3,0,
27541,SAMPLE,1,15,2,1.000,14.993,180.00,19625,8053,263,86,85,23.7,0,
27893,SAMPLE,1,15,2,1.000,15.000,180.00,19625,8053,263,86,85,23.6,0,
27974,TURN_L,1,15,1,1.000,15.000,180.00,18761,8485,263,86,85,-35.0,0,
